sentence	sentence_id	locale	reason
ਉਸਨੇ ਸਿਟੀ ਕੌਂਸਲ ਦਾ ਪੈਸਾ ਵਿਅਰਥ ਕੀਤਾ	0091ebd7b24d26422accb83a97308b33d1fe60eb18c77d2428eb48af867b3b8e	pa-IN	Transliterated words used, when the native words exist.
ਨਾਂਗ ਵਾਂਗ ਭੋਰਾਂ ਨਹੀਂ ਲਿਹਾਜ਼ ਕਰਦੀ	028bcbac6f3a4b4e640e6ba1424ff75aceb35e6d7e90d9017e0402b6a829c59d	pa-IN	grammar-or-spelling
ਸੀਟ ਮਿਲੂ ਕਦੋਂ ਦੀ ਅੱਜ ਸ਼ੁਕਰਵਾਰ ਐ	074336a1e4db6db2fe852a547e46e0112d1551622714e9da29636ff77fa68b8c	pa-IN	grammar-or-spelling
ਕੋਈ ਡਾਲੀਆਂ ਚੋਂ ¦ਘਿਆ ਹਵਾ ਬਣ ਕੇ	01a047ec3e24886e13995d7405e48f66a9bbd78f29e53803648ba9b3aee3a438	pa-IN	grammar-or-spelling
ਤੇ ਦਾ ਪ੍ਰਸਾਦਿ ਵੰਡਿਆ ਸੀ	0155a1dd72f5776c7cfd134fcc87a42c59af9530b7757bb253436955afbe680d	pa-IN	grammar-or-spelling
ਨਾਂਗ ਵਾਂਗ ਭੋਰਾਂ ਨਹੀਂ ਲਿਹਾਜ਼ ਕਰਦੀ	028bcbac6f3a4b4e640e6ba1424ff75aceb35e6d7e90d9017e0402b6a829c59d	pa-IN	grammar-or-spelling
ਮਿਲਣ ਵਿਛੜਣ ਦੇ ਰੰਗਾਂ ਦੀ ਕਸੀਦਾਕਾਰੀ ਜੀੜਨ ਦੀ ਰੰਗੀਨਤਾ	06653652a07ca63817aad7baf7d88a773d04d34364cdd47c4b8cf4e434d71275	pa-IN	grammar-or-spelling
ਗ ਇਸ ਨੂੰ ਸਮਝਣਾ ਬਹੁਤ ਮੁਸ਼ਕਿਲ ਹੈ	044b97e22628b6908153de10480fd85673d98f968280993e63deafa9bdfbbcfe	pa-IN	grammar-or-spelling
ਬਾਰਬਰਾ ਪ੍ਰੀਵਰ ਦੇ ਮੈਂਬਰ ਵਰਗੀ ਹੈ ਰਿਤਿਕ	0068fda25055aea3e072403e2b39a9987b677d7c31bec40fb754b7fceee59461	pa-IN	grammar-or-spelling
ਕਿਲ੍ਹੇ ਦੇ ਬਾਹਰੋਂ ਧਿਆਨ ਸਿੰਘ ਨੇ ਪਿਛੇ ਮੁੜ ਕੇ ਕਿਲ੍ਹੇ ਵੱਲ ਦੇਖਿਆ	020f40023e111aa3ca11cc70a5d10acf9348e2d5cb6630b950633d45c87d9436	pa-IN	grammar-or-spelling
ਹੈ ਇਹ ਯੁੱਗ ਸ਼ਇਰਨਾਨਕ ਪੀਰ ਵਰਗੀ	0628d2caf24e36d6351c4c9be81fa71320513aa6808169a9be4581e04716af85	pa-IN	grammar-or-spelling
ਅਜ ਦੀ ਪੜ੍ਹਾਈ ਮਨੋਵਿਗਿਆਨ ਅਧਾਰਤ ਹੈ	04cfe6fbffcbbad66b03be3a4495a4ce954f1289d0ef2264e81a8832165884a1	pa-IN	grammar-or-spelling
ਦਿਲੀ ਕਮੇਟੀ ਤੋਂ ਵੀ ਉਹਨਾਂ ਨੂੰ ਵੱਖ ਕਰ ਦਿੱਤਾ ਜਾਵੇਗਾ	000e5f61dd1b4dbeee4b5d56c33b52083b08562800f33fe18cd3d60992133c9d	pa-IN	grammar-or-spelling
ਉਥੇ ਉਹ ਇਕ ਮਕੈਨੀਕਲ ਐਨਜੀਨੀਅਰ ਸਨ	0463a3ebe4ed64c8151e68e7146b781be8eca91671ebcafbd6444e7862b12263	pa-IN	grammar-or-spelling
ਨਾਵਾਨੁਮਾ ਵਿਚ ਕੀ ਪਿਆ ਪਰ ਤੁਸੀ ਮੈਨੂੰ ਰਣਜੀਤ ਕਹਿ ਸਕਦੇ ਹੋ	029e30d9e68ed8751cb5e29bdaa2a76921be994a406e219e2dcb8861d9601bf4	pa-IN	grammar-or-spelling
ਬਿਲਕੁਲ ਨਹੀ ਨਿਕਲਦੀ ਪਰ ਮੈ ਕਿਆਰਾ ਮੋੜ ਆਵਾਂ	00f1312ef01cd4d69bb561f48f69170b7f86b447ce71d6760202ed3ac9d9f48b	pa-IN	grammar-or-spelling
ਉਨ੍ਹਾਂ ਵਿਚ ਕੋਈ ਵੱਡਾ ਜਾਂ ਛੋਟਾ ਨਹੀਂ ਹੁੰਦਾ	06b21c863968c08d22cb127e05c43f665d83f8f4fbc86d5fc87b766bd14d29ab	pa-IN	grammar-or-spelling
ਕਿਸੇ ਨਾਲ ਖੁੰਦਕਬਾਜ਼ੀ ਨਹੀਂ ਸੀ ਕੀਤੀ	01d8b5088c9a6f357443ceaf28d535e13d4f0e28c63ebfa56e48635e206742c3	pa-IN	grammar-or-spelling
ਬੇਸੱਕ ਓਨਟੈਰਿਓ ਵਿੱਚ ਸੱਭ ਤੋਂ ਵੱਡੀਆਂ ਸਨੱਅਤਾਂ ਹਨ	01092a01e2fb8f714b9c1cc77811ec39f361b995c3a0615cb2341efa26f692f1	pa-IN	grammar-or-spelling
ਕਿਧਰੇ ਸਭਿਆਚਾਰਕ ਮੇਲੇ ਜੋੜ ਮੇਲੇ ਤੇ ਖੇਡ ਮੇਲੇ	04ec8888a271ff2ffa557bb2e5fa534944ca335de092f1e82d313906185d0e84	pa-IN	grammar-or-spelling
ਹਰਦਮ ਲੜਾਂਗਾ ਰੋਸ਼ਨੀ ਦੀ ਭਾਲ ਲਈ	09baf2d8d77d256babfe7ee85feb336860185225b1370910b7d72ec411ab5e1b	pa-IN	grammar-or-spelling
ਤਲੇ ਟੋਲ ਵੀ ਲੱਭਣੇ ਨੀ ਲਾਲ	010bff3c8babdfd3e2bdcf1946d9e3cd40a1d074802444f5a385366ada8328ee	pa-IN	grammar-or-spelling
ਸ਼ਰਾਬ ਪੀ ਕੇ ਗੱਡੀ ਚਲਾਊਣ ਅਤੇ ਕੋਕੇਨ ਦੇ ਚਰਾਜ ਡਰਾਪ ਕਰ ਦਿੱਤੇ ਗਏ	05f3554dd00990402dc2fe2b5293e7190672b94f4138c8ad91802b83e616b0da	pa-IN	grammar-or-spelling
ੲ ਜਿਵੇਂ ਹੋ ਜਾਵੇ ਉਵੇਂ ਠੀਕ ਹੈ	08581ced545b60d25fac67d3a411c4008b1aa884173d0e3d67a86fd93c80b76f	pa-IN	grammar-or-spelling
ਨੇਤਾ ਜੀ ਅਖਵਾਓ ਦੁਨੀਆਂ ਇਉਂ ਖੁਸ਼ ਹੈ	0502f8f469bf5a7eba03a691ff439bfbac3c260f6cdc89bb90dd27e166cf9688	pa-IN	grammar-or-spelling
ਆਪਣੀ ਬੱਣਾਈ ਵਿਬ ਸਾਈਟ ਤੇ ਆਪਣੇ ਹੀ ਆਰਟੀਕਲ ਲਿਖ ਕੇ ਵੀ ਲਗਾਉਂਦੀ	06ae49a3b4fd950784f9dc8fdc00987d8b9332d19c037cecf4dd17d85aea8acc	pa-IN	grammar-or-spelling
ਕਾਕਾ ਇਹ ਚਾਹ ਏਂ ਜਾਂ ਕਾਲਾ ਬੱਤਾ	059d408ae6c7be0a7017c253161b2b523f3f53f7388b5aed35cf99074eb9cbde	pa-IN	grammar-or-spelling
ਇਹ ਸਥਿਤੀ ਅੰਕਾਂ ਤਕ ਬਣੀ ਰਹੀ	097ece986370a5648d538ba61f1fbfe4b2acb8cd926055b00d02465b76235af7	pa-IN	grammar-or-spelling
ਅੱਗੋਂ ਡਰੈਵਰ ਦੀ ਅੜਵੈਂਗ ਟੱਕਰੇ	06bbdbac53418f057e4f9175d13ad17eafbe5c4f6e2429520b4c5fa9a86f8550	pa-IN	grammar-or-spelling
ਇਹਨਾਂ ਕਿਹੜੈ ਮੈਨੂੰ ਗਾਲੀ ਦਿੱਤੀ ਐ	02ce843a77d68ef16d6d6523835876827f65b47cefce0c5e826dfb84a55f5ef2	pa-IN	grammar-or-spelling
ਜਿਨਾਂ ਆਪਣੇ ਪੱਚੀ ਸਾਲਾਂ ਦੇ ਡਾਂਸ ਕੈਰੀਆਰ ਵਿੱਚ	0939624c7d87d22ab1fc7edffbdc8c7d1db21f18df57ae4a4dbe5bc0f96d9910	pa-IN	grammar-or-spelling
ਨਾਵਾਨੁਮਾ ਵਿਚ ਕੀ ਪਿਆ ਪਰ ਤੁਸੀ ਮੈਨੂੰ ਰਣਜੀਤ ਕਹਿ ਸਕਦੇ ਹੋ	029e30d9e68ed8751cb5e29bdaa2a76921be994a406e219e2dcb8861d9601bf4	pa-IN	grammar-or-spelling
ਠਾਣੇ ਅੰਦਰ ਗਰਦੋਗੋਰ ਮੱਚੀ ਹੋਈ ਸੀ	0336a5cdf88cbabcf021b9a4235e59f37d80462a25be30df732c9ec49e1ba0c7	pa-IN	grammar-or-spelling
ਉਥੇ ਅਠਾਰਾਂ ਕਿਸਮ ਦੀਆਂ ਰਾਈਡਾਂ ਸਨ	0ad7333a597bf60b108ddcfc9c55bb67e54624abf2267aef8d440c58b6926bb9	pa-IN	grammar-or-spelling
ਕੁਝ ਸਮਾਂ ਸੁਖਵਿੰਦਰ ਨੇ ਵੀ ਕੁਮੈਂਟਰੀ ਕੀਤੀ	065cb9ae964f6d46c40525e1909ecdf9683e534969f265835a66cc5efc8d7446	pa-IN	grammar-or-spelling
ਸਾਰੇ ਬਚੇ ਸ਼ਾਦੀ ਸ਼ੁਧਾ ਹਨ	06ca291b966ec9e735cd6c303823ed3cb18c2fa6b52377e67d5a65e21267ea2e	pa-IN	grammar-or-spelling
ਕੈਪਟਨ ਅਮਰਿੰਦਰ ਸਿੰਘ ਆਰਾਮ ਪਸੰਦ ਲੀਡਰ ਹਨ	0654fc4f3ef3dbd29e65b13da74eaf29058111da91bb22ec02481813f64d843b	pa-IN	grammar-or-spelling
ਸਭ ਕੁਝ ਖ਼ਤਮ ਹੋ ਗਿਆ ਹੈ	00bb7a4a98fd81565c992999842168088c2644adf15681334356bd0f66a09a42	pa-IN	grammar-or-spelling
ਪਹਿਲਾਂ ਰਿਸ਼ਤੇਦਾਰਾਂ ਦੋਸਤਾ ਦੀ ਮੱਦਦ ਲਵੋ	07869c93157b9d8e5b1a2c82b746e8d8dd607d6ab60d47a1ea288d2338c218e3	pa-IN	grammar-or-spelling
ਕੁਝ ਸਮਾਂ ਸੁਖਵਿੰਦਰ ਨੇ ਵੀ ਕੁਮੈਂਟਰੀ ਕੀਤੀ	065cb9ae964f6d46c40525e1909ecdf9683e534969f265835a66cc5efc8d7446	pa-IN	grammar-or-spelling
ਉਥੇ ਅਠਾਰਾਂ ਕਿਸਮ ਦੀਆਂ ਰਾਈਡਾਂ ਸਨ	0ad7333a597bf60b108ddcfc9c55bb67e54624abf2267aef8d440c58b6926bb9	pa-IN	grammar-or-spelling
ਸਾਰੇ ਬਚੇ ਸ਼ਾਦੀ ਸ਼ੁਧਾ ਹਨ	06ca291b966ec9e735cd6c303823ed3cb18c2fa6b52377e67d5a65e21267ea2e	pa-IN	grammar-or-spelling
ਸਭ ਕੁਝ ਖ਼ਤਮ ਹੋ ਗਿਆ ਹੈ	00bb7a4a98fd81565c992999842168088c2644adf15681334356bd0f66a09a42	pa-IN	grammar-or-spelling
ਕੈਪਟਨ ਅਮਰਿੰਦਰ ਸਿੰਘ ਆਰਾਮ ਪਸੰਦ ਲੀਡਰ ਹਨ	0654fc4f3ef3dbd29e65b13da74eaf29058111da91bb22ec02481813f64d843b	pa-IN	grammar-or-spelling
ਪਹਿਲਾਂ ਰਿਸ਼ਤੇਦਾਰਾਂ ਦੋਸਤਾ ਦੀ ਮੱਦਦ ਲਵੋ	07869c93157b9d8e5b1a2c82b746e8d8dd607d6ab60d47a1ea288d2338c218e3	pa-IN	grammar-or-spelling
ਤਦ ਤਕ ਦਿਨ ਛਿਪਾਅ ਹੋ ਗਿਆ ਸੀ	061eeb1193196f3524a944d0b18d3a856946e2d4d287be1d05c15a762ee859eb	pa-IN	grammar-or-spelling
ਸਾਦਾ ਜਿਹੀ ਇਮਾਰਤ ਸੀ ਤੇ ਡੰਗਸਾਰੂ ਹੋਸਟਲ ਸੀ	01ae6a0e81636b956e328ba7c4c5f8882cb520c94f3bc0318e3b0d1fdbc4df98	pa-IN	grammar-or-spelling
ਤਿੰਨ ਚਾਰ ਘਰ ਹਿੰਦਅੂ ਾਂ ਦੇ ਹਨ	09d6570a9607b02d58fa3fa8ac0a25101bd94ca1b8b3ce1d1c928474020c0e60	pa-IN	grammar-or-spelling
ਪੀੜਤਾਂ ਨੇ ਕੀਤਾ ਸਮਝੌਤਾ ਦਾ ਵਿਰੋਧ	012aeb75fcaf7d0f31936caa42f24039c47065130f337e4227906d53528945e0	pa-IN	grammar-or-spelling
ਅਸਮਾਨ ਸਾਫ ਸੀ ਜੋ ਮੇਲੇ ਲਈ ਸ਼ੁਭ ਸ਼ਗਨ ਸੀ	053b2cc4ba59eb204529e62775ba93ae1c7e89bed87ed12212287c53bee6136e	pa-IN	grammar-or-spelling
ਮਨਪ੍ਰੀਤ ਸਿੰਘ ਸਾਫ਼ ਤੌਰ ਤੇ ਅਪਣੇ ਵਾਸਤੇ ਜਗ੍ਹਾਂ ਤਲਾਸ਼ਣ ਦੀ ਕੋਸ਼ਿਸ਼ ਕਰ ਰਿਹਾ ਹੈ	0692701f589bcf04ee3e97b7ba58d81c5b613ef108888a779667fa0b9a2e722f	pa-IN	grammar-or-spelling
ਉਹ ਇਸ ਵਿਚ ਆਪਣੀ ਸ਼ਾਨ ਸਮਝਦੀਆਂ ਹਨ	0a37f2671895ec4cd6095a9672607bc5b8109e587bd968853bb4de43d864a2a1	pa-IN	grammar-or-spelling
ਟਾਈਮ ਅਗੇ ਪਿੱਛੇ ਨਹੀਂ ਕੀਤਾ ਗਿਆ	0395c434265d6e3219aeb9550285e003a212311758023b9ff259312c77e0d64d	pa-IN	grammar-or-spelling
ਮੇਰੇ ਇੱਕ ਸਿੰਗੇ ਵਰਗਾ ਕਰ ਲੈ	02e786d2b0725acaa8a84357472c94a742cbf618f75aa39a18258ccf5ae67107	pa-IN	grammar-or-spelling
ਤਲੇ ਟੋਲ ਵੀ ਲੱਭਣੇ ਨੀ ਲਾਲ	010bff3c8babdfd3e2bdcf1946d9e3cd40a1d074802444f5a385366ada8328ee	pa-IN	grammar-or-spelling
ਮਰਦ ਅਗੰਮੜੇ ਉੱਚ ਦ ੇਪੀਰਵਰਗੀ	079be7153ef4ede9129e8dde9c464eac600f18681fbab5288332c31c217efe15	pa-IN	grammar-or-spelling